Name,ID#
Red Patterson,10710
Hal Raether,1010645
Joe Strauss,1012605
Jake Arrieta,4153
Red Torkelson,1013125
Doug Nickle,963
Frank Lankford,1007327
Pud Galvin,1004469
Sammy Curran,1002886
Frank Riccelli,1010891
Salome Barojas,1000584
Colby Ward,1013607
Dave Eilers,1003715
Bruce Robbins,1011019
Whammy Douglas,1003437
Wiley Davis,1003087
Jose Acevedo,307
Bob Gamble,1004470
Turk Lown,1007793
Chaz Roe,9866
Doug Konieczny,1007094
Mike Beard,1000718
Herb Goodall,1004850
John Mitchell,1009003
Charles Nagy,397
Art Evans,1003858
Jim Middleton,1008843
Brad Kilby,9823
Dan Marion,1008107
Brett Laxton,1007412
Bob Howry,237
Roberto Rivera,1011006
Dave Danforth,1002966
Ralph Beard,1000720
George Shears,1011838
Ossie France,1004290
Claude Crocker,1002781
Dock Ellis,1003747
Jose Rijo,349
Tanner Roark,8753
Jocko Thompson,1013016
Walter Anderson,1000245
Jack Lazorko,1007420
Ed Wright,1014276
Cory Gearrin,7947
Dwight Stone,1012563
Scipio Spinks,1012345
Ray Bare,1000536
Ryan Pressly,7005
Rosman Garcia,1691
Dave Shipanoff,1011904
Bugs Reisigl,1010815
Wayne Gross,1005091
Dave Leiper,1007498
Aaron Cook,1571
Paul Hopkins,1006018
Marc Gwyn,3116
Jose Urena,11589
Daniel Bard,7115
Katsy Keifer,1006762
Dan Carlson,1001959
Dan Griner,1005072
Jamie Brown,371
Jim Cosman,1002652
Doug Fister,9425
Harry Dean,1003109
Joe Valentine,1810
Dan Spillner,1012342
Cy Warmoth,1013629
Derek Lowe,199
Silvino Bracho,15051
George Crable,1002713
Hideki Irabu,1255
Scott Sauerbeck,1007
Yimi Garcia,12095
T.J. Tucker,800
Ira Hutchinson,1006239
Rick Baldwin,1000487
Gordie Richardson,1010908
